INFO  | 06/16/2022 09:53:27 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0721 iteration 00000325 = 0.16357561945915222
INFO  | 06/16/2022 09:53:32 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0721 iteration 00000330 = 0.1246027946472168
INFO  | 06/16/2022 09:53:36 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0721 iteration 00000335 = 0.16479413211345673
INFO  | 06/16/2022 09:53:41 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0722 iteration 00000340 = 0.13148227334022522
INFO  | 06/16/2022 09:53:46 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0722 iteration 00000345 = 0.2014046013355255
INFO  | 06/16/2022 09:53:51 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0722 iteration 00000350 = 0.1266603171825409
INFO  | 06/16/2022 09:53:55 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0723 iteration 00000355 = 0.18649247288703918
INFO  | 06/16/2022 09:54:01 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0723 iteration 00000360 = 0.13785520195960999
INFO  | 06/16/2022 09:54:05 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0723 iteration 00000365 = 0.14769916236400604
INFO  | 06/16/2022 09:54:10 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0724 iteration 00000370 = 0.1086076945066452
INFO  | 06/16/2022 09:54:15 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0724 iteration 00000375 = 0.12841235101222992
INFO  | 06/16/2022 09:54:21 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0724 iteration 00000380 = 0.1680552065372467
INFO  | 06/16/2022 09:54:24 PM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0724
INFO  | 06/16/2022 09:54:26 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0725 iteration 00000385 = 0.14759308099746704
INFO  | 06/16/2022 09:54:30 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0725 iteration 00000390 = 0.16902557015419006
INFO  | 06/16/2022 09:54:35 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0725 iteration 00000395 = 0.16271193325519562
INFO  | 06/16/2022 09:54:40 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0725 iteration 00000400 = 0.184793159365654
INFO  | 06/16/2022 09:54:45 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0726 iteration 00000405 = 0.15497517585754395
INFO  | 06/16/2022 09:54:50 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0726 iteration 00000410 = 0.1336282640695572
INFO  | 06/16/2022 09:54:54 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0726 iteration 00000415 = 0.21074025332927704
INFO  | 06/16/2022 09:55:00 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0727 iteration 00000420 = 0.11915819346904755
INFO  | 06/16/2022 09:55:04 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0727 iteration 00000425 = 0.18346735835075378
INFO  | 06/16/2022 09:55:09 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0727 iteration 00000430 = 0.13527940213680267
INFO  | 06/16/2022 09:55:13 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0728 iteration 00000435 = 0.15180598199367523
INFO  | 06/16/2022 09:55:18 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0728 iteration 00000440 = 0.16343656182289124
INFO  | 06/16/2022 09:55:23 PM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0728 iteration 00000445 = 0.18776747584342957
