INFO  | 06/17/2022 09:04:59 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0923 iteration 00000325 = 0.16016928851604462
INFO  | 06/17/2022 09:05:04 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0923 iteration 00000330 = 0.13477429747581482
INFO  | 06/17/2022 09:05:08 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0923 iteration 00000335 = 0.23216132819652557
INFO  | 06/17/2022 09:05:13 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0923 iteration 00000340 = 0.15369683504104614
INFO  | 06/17/2022 09:05:19 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0923 iteration 00000345 = 0.17740079760551453
INFO  | 06/17/2022 09:05:24 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0923 iteration 00000350 = 0.16318421065807343
INFO  | 06/17/2022 09:05:29 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0924 iteration 00000355 = 0.19344361126422882
INFO  | 06/17/2022 09:05:34 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0924 iteration 00000360 = 0.1562640368938446
INFO  | 06/17/2022 09:05:39 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0924 iteration 00000365 = 0.14252473413944244
INFO  | 06/17/2022 09:05:45 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0924 iteration 00000370 = 0.15986748039722443
INFO  | 06/17/2022 09:05:50 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0924 iteration 00000375 = 0.0975394994020462
INFO  | 06/17/2022 09:05:55 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0924 iteration 00000380 = 0.12516550719738007
INFO  | 06/17/2022 09:05:59 AM | File gran_runner.py       | Line 283   | Saving Snapshot @ epoch 0924
INFO  | 06/17/2022 09:06:00 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0925 iteration 00000385 = 0.1688552349805832
INFO  | 06/17/2022 09:06:05 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0925 iteration 00000390 = 0.1468239724636078
INFO  | 06/17/2022 09:06:10 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0925 iteration 00000395 = 0.17649197578430176
INFO  | 06/17/2022 09:06:14 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0925 iteration 00000400 = 0.14947554469108582
INFO  | 06/17/2022 09:06:19 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0925 iteration 00000405 = 0.13386227190494537
INFO  | 06/17/2022 09:06:24 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0925 iteration 00000410 = 0.11273021996021271
INFO  | 06/17/2022 09:06:29 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0925 iteration 00000415 = 0.16477732360363007
INFO  | 06/17/2022 09:06:34 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0926 iteration 00000420 = 0.16526982188224792
INFO  | 06/17/2022 09:06:39 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0926 iteration 00000425 = 0.18974775075912476
INFO  | 06/17/2022 09:06:44 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0926 iteration 00000430 = 0.1265314370393753
INFO  | 06/17/2022 09:06:48 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0926 iteration 00000435 = 0.1607692539691925
INFO  | 06/17/2022 09:06:54 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0926 iteration 00000440 = 0.12161612510681152
INFO  | 06/17/2022 09:06:59 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0926 iteration 00000445 = 0.15963691473007202
INFO  | 06/17/2022 09:07:03 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0927 iteration 00000450 = 0.15622639656066895
INFO  | 06/17/2022 09:07:08 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0927 iteration 00000455 = 0.1477247029542923
INFO  | 06/17/2022 09:07:13 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0927 iteration 00000460 = 0.18185897171497345
INFO  | 06/17/2022 09:07:18 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0927 iteration 00000465 = 0.14273831248283386
INFO  | 06/17/2022 09:07:23 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0927 iteration 00000470 = 0.16371701657772064
INFO  | 06/17/2022 09:07:29 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0927 iteration 00000475 = 0.09485908597707748
INFO  | 06/17/2022 09:07:34 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0927 iteration 00000480 = 0.18295139074325562
INFO  | 06/17/2022 09:07:39 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0928 iteration 00000485 = 0.19650676846504211
INFO  | 06/17/2022 09:07:44 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0928 iteration 00000490 = 0.16514146327972412
INFO  | 06/17/2022 09:07:49 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0928 iteration 00000495 = 0.20315203070640564
INFO  | 06/17/2022 09:07:54 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0928 iteration 00000500 = 0.1460001915693283
INFO  | 06/17/2022 09:07:59 AM | File gran_runner.py       | Line 279   | NLL Loss @ epoch 0928 iteration 00000505 = 0.10985036194324493
