INFO  | 06/22/2022 09:47:13 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0010 iteration 00000300 = 0.12524430453777313
INFO  | 06/22/2022 09:47:14 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0010 iteration 00000305 = 0.24064360558986664
INFO  | 06/22/2022 09:47:15 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0010 iteration 00000310 = 0.19372062385082245
INFO  | 06/22/2022 09:47:16 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0010 iteration 00000315 = 0.25392499566078186
INFO  | 06/22/2022 09:47:16 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0010 iteration 00000320 = 0.38981857895851135
INFO  | 06/22/2022 09:47:17 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0011 iteration 00000325 = 0.3221517503261566
INFO  | 06/22/2022 09:47:18 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0011 iteration 00000330 = 0.4695810377597809
INFO  | 06/22/2022 09:47:19 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0011 iteration 00000335 = 0.3534401059150696
INFO  | 06/22/2022 09:47:19 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0011 iteration 00000340 = 0.19795401394367218
INFO  | 06/22/2022 09:47:20 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0011 iteration 00000345 = 0.18577483296394348
INFO  | 06/22/2022 09:47:20 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0011 iteration 00000350 = 0.2039245367050171
INFO  | 06/22/2022 09:47:21 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0012 iteration 00000355 = 0.2777475416660309
INFO  | 06/22/2022 09:47:22 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0012 iteration 00000360 = 0.3824195861816406
INFO  | 06/22/2022 09:47:23 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0012 iteration 00000365 = 0.3177747130393982
INFO  | 06/22/2022 09:47:24 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0012 iteration 00000370 = 0.06655522435903549
INFO  | 06/22/2022 09:47:24 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0012 iteration 00000375 = 0.26343920826911926
INFO  | 06/22/2022 09:47:25 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0012 iteration 00000380 = 0.3132610321044922
INFO  | 06/22/2022 09:47:26 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0013 iteration 00000385 = 0.32378363609313965
INFO  | 06/22/2022 09:47:27 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0013 iteration 00000390 = 0.24413560330867767
INFO  | 06/22/2022 09:47:27 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0013 iteration 00000395 = 0.12276249378919601
INFO  | 06/22/2022 09:47:28 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0013 iteration 00000400 = 0.2538613975048065
INFO  | 06/22/2022 09:47:29 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0013 iteration 00000405 = 0.3641901910305023
INFO  | 06/22/2022 09:47:30 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0013 iteration 00000410 = 0.2696739137172699
INFO  | 06/22/2022 09:47:30 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0013 iteration 00000415 = 0.23810039460659027
INFO  | 06/22/2022 09:47:31 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0014 iteration 00000420 = 0.14110472798347473
INFO  | 06/22/2022 09:47:32 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0014 iteration 00000425 = 0.4313372075557709
INFO  | 06/22/2022 09:47:33 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0014 iteration 00000430 = 0.20771847665309906
INFO  | 06/22/2022 09:47:33 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0014 iteration 00000435 = 0.20961478352546692
INFO  | 06/22/2022 09:47:34 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0014 iteration 00000440 = 0.18974211812019348
INFO  | 06/22/2022 09:47:35 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0014 iteration 00000445 = 0.3315705955028534
INFO  | 06/22/2022 09:47:35 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0015 iteration 00000450 = 0.4496442377567291
INFO  | 06/22/2022 09:47:36 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0015 iteration 00000455 = 0.32931002974510193
INFO  | 06/22/2022 09:47:37 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0015 iteration 00000460 = 0.06779597699642181
INFO  | 06/22/2022 09:47:38 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0015 iteration 00000465 = 0.3770809769630432
INFO  | 06/22/2022 09:47:38 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0015 iteration 00000470 = 0.28438428044319153
INFO  | 06/22/2022 09:47:39 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0015 iteration 00000475 = 0.20978474617004395
INFO  | 06/22/2022 09:47:40 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0015 iteration 00000480 = 0.28502997756004333
INFO  | 06/22/2022 09:47:41 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0016 iteration 00000485 = 0.168455109000206
INFO  | 06/22/2022 09:47:41 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0016 iteration 00000490 = 0.26206454634666443
INFO  | 06/22/2022 09:47:42 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0016 iteration 00000495 = 0.18570438027381897
INFO  | 06/22/2022 09:47:43 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0016 iteration 00000500 = 0.19850514829158783
INFO  | 06/22/2022 09:47:44 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0016 iteration 00000505 = 0.2673064172267914
INFO  | 06/22/2022 09:47:44 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0016 iteration 00000510 = 0.3355039358139038
INFO  | 06/22/2022 09:47:45 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0017 iteration 00000515 = 0.33214640617370605
INFO  | 06/22/2022 09:47:46 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 0017 iteration 00000520 = 0.2567151188850403
