INFO  | 06/29/2022 07:07:08 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20027 iteration 00000855 = 0.07477213442325592
INFO  | 06/29/2022 07:07:11 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20028 iteration 00000870 = 0.060546912252902985
INFO  | 06/29/2022 07:07:14 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20028 iteration 00000885 = 0.08976944535970688
INFO  | 06/29/2022 07:07:18 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20029 iteration 00000900 = 0.10110636055469513
INFO  | 06/29/2022 07:07:21 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20029 iteration 00000915 = 0.0958588719367981
INFO  | 06/29/2022 07:07:24 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20030 iteration 00000930 = 0.0522630512714386
INFO  | 06/29/2022 07:07:26 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20030 iteration 00000945 = 0.19052861630916595
INFO  | 06/29/2022 07:07:30 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20030 iteration 00000960 = 0.08515080064535141
INFO  | 06/29/2022 07:07:33 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20031 iteration 00000975 = 0.09656335413455963
INFO  | 06/29/2022 07:07:36 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20031 iteration 00000990 = 0.20079627633094788
INFO  | 06/29/2022 07:07:39 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20032 iteration 00001005 = 0.08145207166671753
INFO  | 06/29/2022 07:07:42 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20032 iteration 00001020 = 0.12699627876281738
INFO  | 06/29/2022 07:07:45 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20033 iteration 00001035 = 0.08733926713466644
INFO  | 06/29/2022 07:07:48 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20033 iteration 00001050 = 0.10396041721105576
INFO  | 06/29/2022 07:07:51 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20034 iteration 00001065 = 0.03641435131430626
INFO  | 06/29/2022 07:07:55 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20034 iteration 00001080 = 0.13567772507667542
INFO  | 06/29/2022 07:07:58 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20035 iteration 00001095 = 0.14011232554912567
INFO  | 06/29/2022 07:08:02 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20035 iteration 00001110 = 0.07809466123580933
INFO  | 06/29/2022 07:08:05 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20036 iteration 00001125 = 0.05007333308458328
INFO  | 06/29/2022 07:08:08 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20036 iteration 00001140 = 0.08135099709033966
INFO  | 06/29/2022 07:08:11 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20037 iteration 00001155 = 0.06998878717422485
INFO  | 06/29/2022 07:08:14 AM | File gran_runner.py       | Line 290   | NLL Loss @ epoch 20037 iteration 00001170 = 0.06478720903396606
